season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,ATL,CrumAl00,Alge Crumpler,A.Crumpler,O,TE,TE,16,16,5,8
2006,ATL,OmiyFr20,Frank Omiyale,F.Omiyale,,,,1,0,0,0
2006,ATL,DaviCh22,Chauncey Davis,C.Davis,D,DL,DE,16,13,1,6
2006,ATL,ReesIk99,Ike Reese,I.Reese,,,,16,0,8,1
2006,ATL,DudlKe00,Kevin Dudley,K.Dudley,,,,1,0,1,0
2006,ATL,RobeJa00,Jamal Robertson,J.Robertson,,,,1,0,4,0
2006,ATL,DunnWa00,Warrick Dunn,W.Dunn,O,RB,RB,16,16,9,9
2006,ATL,RossAl99,Allen Rossum,A.Rossum,D,DB,CB,16,6,8,3
2006,ATL,ElliJa00,Jamin Elliott,J.Elliott,,,,1,0,4,0
2006,ATL,SchaMa00,Matt Schaub,M.Schaub,,,,16,0,2,1
2006,ATL,FornKy20,Kynan Forney,K.Forney,O,OL,RG,7,7,5,3
2006,ATL,SchuLa00,Lance Schulters,L.Schulters,D,DB,RCB,7,1,8,1
2006,ATL,GandWa20,Wayne Gandy,W.Gandy,O,OL,LT,16,16,12,8
2006,ATL,ShroDa20,Darrell Shropshire,D.Shropshire,D,DL,NT,13,1,1,1
2006,ATL,GrifJu00,Justin Griffith,J.Griffith,O,RB,FB,16,11,3,2
2006,ATL,StutBo00,Boone Stutz,B.Stutz,,,,16,0,0,0
2006,ATL,HallDe99,DeAngelo Hall,D.Hall,D,DB,LCB,16,16,2,11
2006,ATL,TurnNi20,Nick Turnbull,N.Turnbull,,,,2,0,0,0
2006,ATL,HartEd20,Ed Hartwell,E.Hartwell,D,LB,MLB,8,6,5,3
2006,ATL,VickMi00,Michael Vick,M.Vick,O,QB,QB,16,16,5,15
2006,ATL,JackGr20,Grady Jackson,G.Jackson,D,DL,NT,16,15,9,6
2006,ATL,WebsJa20,Jason Webster,J.Webster,D,DB,RCB,8,7,6,3
2006,ATL,JackMa01,Marlion Jackson,M.Jackson,,,,1,0,0,0
2006,ATL,WeinTo20,Todd Weiner,T.Weiner,O,OL,RT,16,16,8,8
2006,ATL,JackTo20,T.J. Jackson,T.Jackson,,,,5,0,0,0
2006,ATL,WhitRo00,Roddy White,R.White,O,WR,WR,16,5,1,5
2006,ATL,JamiBr20,Brandon Jamison,B.Jamison,,,,3,0,0,0
2006,ATL,WillDe22,Demorrio Williams,D.Williams,D,LB,LB,16,10,2,6
2006,ATL,JenkMi00,Michael Jenkins,M.Jenkins,O,WR,WR,16,16,2,4
2006,ATL,WillJi23,Jimmy Williams,J.Williams,D,DB,RCB,13,5,0,2
2006,ATL,JennAd00,Adam Jennings,A.Jennings,,,,15,0,0,0
2006,ATL,YounKe00,Kevin Youngblood,K.Youngblood,,,,1,0,0,0
2006,ATL,JohnDe24,Derrick Johnson,D.Johnson,,,,2,0,1,0
2006,ATL,KernPa99,Patrick Kerney,P.Kerney,D,DL,DE,9,9,7,4
2006,ATL,KingAu20,Austin King,A.King,,,,14,0,2,1
2006,ATL,AbraJo00,John Abraham,J.Abraham,D,DL,DE,8,7,6,3
2006,ATL,koenemic01,Michael Koenen,M.Koenen,S,P,P,16,0,1,0
2006,ATL,AlexP.20,P.J. Alexander,P.Alexander,O,OL,LG,4,4,2,2
2006,ATL,LeakJo20,John Leake,J.Leake,,,,14,0,1,1
2006,ATL,andermor01,Morten Andersen,M.Andersen,S,K,K,14,0,24,3
2006,ATL,LehrMa20,Matt Lehr,M.Lehr,O,OL,LG,11,11,5,5
2006,ATL,BabiJo20,Jonathan Babineaux,J.Babineaux,D,DL,DT,16,1,1,3
2006,ATL,LeliAs00,Ashley Lelie,A.Lelie,O,WR,WR,15,10,4,4
2006,ATL,BeckJo20,Jordan Beck,J.Beck,,,,15,0,0,1
2006,ATL,LoweOm20,Omare Lowe,O.Lowe,,,,16,0,4,1
2006,BAL,DarlDe00,Devard Darling,D.Darling,,,,1,0,2,0
2006,BAL,RollSa00,Samari Rolle,S.Rolle,D,DB,RCB,16,16,8,7
2006,BAL,EdwaDw20,Dwan Edwards,D.Edwards,,,,8,0,2,1
2006,BAL,RossCo00,Cory Ross,C.Ross,,,,4,0,0,0
2006,BAL,FlynMi20,Mike Flynn,M.Flynn,O,OL,C,16,16,8,7
2006,BAL,SamsB.00,B.J. Sams,B.Sams,,,,12,0,2,1
2006,BAL,FranAu20,Aubrayo Franklin,A.Franklin,,,,14,0,3,2
2006,BAL,SappGe20,Gerome Sapp,G.Sapp,D,DB,SS,15,1,3,1
2006,BAL,GreeJu00,Justin Green,J.Green,O,RB,FB,12,3,1,0
2006,BAL,ScotBa20,Bart Scott,B.Scott,D,LB,LB,16,16,4,15
2006,BAL,GregKe20,Kelly Gregg,K.Gregg,D,DL,NT,16,16,7,10
2006,BAL,SmitMi22,Mike Smith,M.Smith,D,LB,MLB,8,1,1,1
2006,BAL,HaleDe20,Dennis Haley,D.Haley,,,,9,0,1,1
2006,BAL,SmitMu00,Musa Smith,M.Smith,,,,12,0,3,2
2006,BAL,HeapTo00,Todd Heap,T.Heap,O,TE,TE,16,16,5,7
2006,BAL,StilGa00,Gary Stills,G.Stills,,,,16,0,7,2
2006,BAL,IvyxCo20,Corey Ivy,C.Ivy,,,,13,0,5,1
2006,BAL,stovemat01,Matt Stover,M.Stover,S,K,K,16,0,15,5
2006,BAL,JohnJa23,Jarret Johnson,J.Johnson,D,DL,DE,16,2,3,3
2006,BAL,SuggTe99,Terrell Suggs,T.Suggs,D,DL,DE,16,15,3,13
2006,BAL,JohnTi21,Tim Johnson,T.Johnson,,,,4,0,5,0
2006,BAL,SypnQu00,Quinn Sypniewski,Q.Sypniewski,O,TE,TE,16,3,0,0
2006,BAL,KatuMa20,Matt Katula,M.Katula,,,,16,0,1,1
2006,BAL,TerrAd20,Adam Terry,A.Terry,O,OL,LT,16,2,1,2
2006,BAL,KochSa20,Sam Koch,S.Koch,S,P,P,16,0,0,2
2006,BAL,ThomAd00,Adalius Thomas,A.Thomas,D,LB,LB,16,16,6,18
2006,BAL,KracMi20,Michael Kracalik,M.Kracalik,,,,1,0,0,0
2006,BAL,VincKe20,Keydrick Vincent,K.Vincent,O,OL,RG,12,12,5,6
