game_id,off_pos,official_id,name
1999_01_PIT_CLE,LJ,PharRo0r,Ron Phares
1999_01_PIT_CLE,BJ,HoweJi0r,Jim Howey
1999_01_PIT_CLE,SJ,BakeKe0r,Ken Baker
1999_01_PIT_CLE,FJ,LoveBi0r,Bill Lovett
1999_01_SF_JAX,R,KukaBe0r,Bernie Kukar
1999_01_SF_JAX,U,PagaCa0r,Carl Paganelli
1999_01_SF_JAX,DJ,JohnTo0r,Tom Johnson
1999_01_SF_JAX,LJ,BergJe0r,Jeff Bergman
1999_01_SF_JAX,BJ,ReelRi0r,Richard Reels
1999_01_SF_JAX,SJ,WyanDa0r,Dave Wyant
1999_01_SF_JAX,FJ,McPeLl0r,Lloyd McPeters
1999_02_ARI_MIA,R,McElBo0r,Bob McElwee
1999_02_ARI_MIA,U,DawsSc0r,Scott Dawson
1999_02_ARI_MIA,DJ,WilsJa0r,James Wilson
1999_02_ARI_MIA,LJ,PharRo0r,Ron Phares
1999_02_ARI_MIA,BJ,HoweJi0r,Jim Howey
1999_02_ARI_MIA,SJ,BakeKe0r,Ken Baker
1999_02_ARI_MIA,FJ,LoveBi0r,Bill Lovett
1999_02_ATL_DAL,R,WhitTo0r,Tom White
1999_02_ATL_DAL,U,QuirJi0r,Jim Quirk
1999_02_ATL_DAL,DJ,WeidPa0r,Paul Weidner
1999_02_ATL_DAL,LJ,MariRo0r,Ron Marinucci
1999_02_ATL_DAL,BJ,WaggBo0r,Bob Waggoner
1999_02_ATL_DAL,SJ,LaneGa0r,Gary Lane
1999_02_ATL_DAL,FJ,EdwaSc0r,Scott Edwards
1999_02_CLE_TEN,R,HochEd0r,Ed Hochuli
1999_02_CLE_TEN,U,BrowCh0r,Chad Brown
1999_02_CLE_TEN,DJ,HaywGe0r,George Hayward
1999_02_CLE_TEN,LJ,SpanMi0r,Michael Spanier
1999_02_CLE_TEN,BJ,CareDo0r,Don Carey
1999_02_CLE_TEN,SJ,HayeLa0r,Laird Hayes
1999_02_CLE_TEN,FJ,SaraJi0r,Jim Saracino
1999_02_DEN_KC,R,CorrTo0r,Tom Corrente
1999_02_DEN_KC,U,BotcRo0r,Roy Botchan
1999_02_DEN_KC,DJ,GierTe0r,Terry Gierke
1999_02_DEN_KC,LJ,BarnTo0r,Tom Barnes
1999_02_DEN_KC,BJ,HortBu0r,Buddy Horton
1999_02_DEN_KC,SJ,TollDo0r,Doug Tolle
1999_02_DEN_KC,FJ,SiffTo0r,Tom Sifferman
1999_02_GB_DET,R,TripJe0r,Jeff Triplette
1999_02_GB_DET,U,DaopJi0r,Jim Daopoulos
1999_02_GB_DET,DJ,FranEa0r,Earnie Frantz
1999_02_GB_DET,LJ,ArthGa0r,Gary Arthur
1999_02_GB_DET,BJ,SkelBo0r,Bobby Skelton
1999_02_GB_DET,SJ,McAuTe0r,Terry McAuley
1999_02_GB_DET,FJ,CheeBo0r,Boris Cheek
1999_02_IND_NE,R,HantDi0r,Dick Hantak
1999_02_IND_NE,U,MadsCa0r,Carl Madsen
1999_02_IND_NE,DJ,BaltMa0r,Mark Baltz
1999_02_IND_NE,LJ,StepTo0r,Tom Stephan
1999_02_IND_NE,BJ,DorkDo0r,Don Dorkowski
1999_02_IND_NE,SJ,CarlDo0r,Don Carlsen
1999_02_IND_NE,FJ,SteeSc0r,Scott Steenson
1999_02_JAX_CAR,R,CaroBi0r,Bill Carollo
1999_02_JAX_CAR,U,HannBu0r,Butch Hannah
1999_02_JAX_CAR,DJ,VeteTo0r,Tony Veteri
1999_02_JAX_CAR,LJ,MontBe0r,Ben Montgomery
1999_02_JAX_CAR,BJ,PagaPe0r,Perry Paganelli
1999_02_JAX_CAR,SJ,RoseLa0r,Larry Rose
1999_02_JAX_CAR,FJ,MillTi0r,Tim Millis
1999_02_NO_SF,R,LuckPh0r,Phil Luckett
1999_02_NO_SF,U,WagnBo0r,Bob Wagner
1999_02_NO_SF,DJ,SlauGa0r,Gary Slaughter
1999_02_NO_SF,LJ,BostBy0r,Byron Boston
1999_02_NO_SF,BJ,LeavBi0r,Bill Leavy
1999_02_NO_SF,SJ,DunnNe0r,Neely Dunn
1999_02_NO_SF,FJ,WardDa0r,David Warden
1999_02_NYJ_BUF,R,WintRo0r,Ron Winter
1999_02_NYJ_BUF,U,CoukEd0r,Ed Coukart
1999_02_NYJ_BUF,DJ,RiveSa0r,Sanford Rivers
1999_02_NYJ_BUF,LJ,MaurBr0r,Bruce Maurer
1999_02_NYJ_BUF,BJ,SmitBi0r,Billy Smith
1999_02_NYJ_BUF,SJ,HillTo0r,Tom Hill
1999_02_NYJ_BUF,FJ,ZimmSt0r,Steven Zimmer
1999_02_OAK_MIN,R,NemmLa0r,Larry Nemmers
1999_02_OAK_MIN,U,GereNe0r,Neil Gereb
1999_02_OAK_MIN,DJ,WillDa0r,Dale Williams
1999_02_OAK_MIN,LJ,StewCh0r,Charles Stewart
1999_02_OAK_MIN,BJ,SchmBi0r,Bill Schmitz
1999_02_OAK_MIN,SJ,FincTo0r,Tom Fincken
1999_02_OAK_MIN,FJ,McGrBo0r,Bob McGrath
1999_02_PIT_BAL,R,AustGe0r,Gerry Austin
1999_02_PIT_BAL,U,DukeJi0r,Jim Duke
1999_02_PIT_BAL,DJ,SchlJo0r,John Schleyer
1999_02_PIT_BAL,LJ,BaynRo0r,Ron Baynes
1999_02_PIT_BAL,BJ,VaugJa0r,Jack Vaughan
1999_02_PIT_BAL,SJ,PattRi0r,Rick Patterson
1999_02_PIT_BAL,FJ,MackKe0r,Keven Mack
1999_02_SD_CIN,R,GrieJo0r,Johnny Grier
1999_02_SD_CIN,U,BallBr0r,Brian Balliet
1999_02_SD_CIN,DJ,StabTo0r,Tom Stabile
1999_02_SD_CIN,LJ,AndeDa0r,Dave Anderson
1999_02_SD_CIN,BJ,GreeSc0r,Scott Green
1999_02_SD_CIN,SJ,LookDe0r,Dean Look
1999_02_SD_CIN,FJ,CarrDu0r,Duke Carroll
1999_02_SEA_CHI,R,CareMi0r,Mike Carey
1999_02_SEA_CHI,U,DeFeGa0r,Garth DeFelice
1999_02_SEA_CHI,DJ,SemoSi0r,Sid Semon
1999_02_SEA_CHI,LJ,AndeWa0r,Walt Anderson
1999_02_SEA_CHI,BJ,SpitRo0r,Ron Spitler
1999_02_SEA_CHI,SJ,MoorTo0r,Tommy Moore
1999_02_SEA_CHI,FJ,MorePe0r,Pete Morelli
1999_02_TB_PHI,R,BlumRo0r,Ron Blum
1999_02_TB_PHI,U,WilsSt0r,Steve Wilson
1999_02_TB_PHI,DJ,HittMa0r,Mark Hittner
1999_02_TB_PHI,LJ,PoinAa0r,Aaron Pointer
1999_02_TB_PHI,BJ,DornKi0r,Kirk Dornan
1999_02_TB_PHI,SJ,SpykBi0r,Bill Spyksma
1999_02_TB_PHI,FJ,JuryAl0r,Al Jury
1999_02_WAS_NYG,R,KukaBe0r,Bernie Kukar
1999_02_WAS_NYG,U,PagaCa0r,Carl Paganelli
1999_02_WAS_NYG,DJ,JohnTo0r,Tom Johnson
1999_02_WAS_NYG,LJ,BergJe0r,Jeff Bergman
1999_02_WAS_NYG,BJ,ReelRi0r,Richard Reels
1999_02_WAS_NYG,SJ,WyanDa0r,Dave Wyant
1999_02_WAS_NYG,FJ,McPeLl0r,Lloyd McPeters
1999_03_ATL_STL,R,BlumRo0r,Ron Blum
1999_03_CHI_OAK,R,HochEd0r,Ed Hochuli
1999_03_CHI_OAK,U,BrowCh0r,Chad Brown
1999_03_CHI_OAK,DJ,HaywGe0r,George Hayward
1999_03_CHI_OAK,LJ,SpanMi0r,Michael Spanier
1999_03_CHI_OAK,BJ,CareDo0r,Don Carey
1999_03_CHI_OAK,SJ,HayeLa0r,Laird Hayes
1999_03_CHI_OAK,FJ,SaraJi0r,Jim Saracino
1999_03_CIN_CAR,R,HantDi0r,Dick Hantak
1999_03_CLE_BAL,R,KukaBe0r,Bernie Kukar
1999_03_CLE_BAL,U,PagaCa0r,Carl Paganelli
1999_03_CLE_BAL,DJ,JohnTo0r,Tom Johnson
1999_03_CLE_BAL,LJ,BergJe0r,Jeff Bergman
1999_03_CLE_BAL,BJ,ReelRi0r,Richard Reels
1999_03_CLE_BAL,SJ,WyanDa0r,Dave Wyant
1999_03_CLE_BAL,FJ,McPeLl0r,Lloyd McPeters
1999_03_DEN_TB,R,CaroBi0r,Bill Carollo
1999_03_DEN_TB,U,HannBu0r,Butch Hannah
1999_03_DEN_TB,DJ,VeteTo0r,Tony Veteri
1999_03_DEN_TB,LJ,MontBe0r,Ben Montgomery
1999_03_DEN_TB,BJ,PagaPe0r,Perry Paganelli
1999_03_DEN_TB,SJ,RoseLa0r,Larry Rose
1999_03_DEN_TB,FJ,MillTi0r,Tim Millis
1999_03_DET_KC,R,GartMi0r,Mike Garth
1999_03_DET_KC,U,DeFeGa0r,Garth DeFelice
1999_03_DET_KC,DJ,SemoSi0r,Sid Semon
1999_03_DET_KC,LJ,AndeWa0r,Walt Anderson
1999_03_DET_KC,BJ,SpitRo0r,Ron Spitler
1999_03_DET_KC,SJ,MoorTo0r,Tommy Moore
1999_03_DET_KC,FJ,MorePe0r,Pete Morelli
1999_03_IND_SD,R,McElBo0r,Bob McElwee
1999_03_IND_SD,U,GereNe0r,Neil Gereb
1999_03_IND_SD,DJ,WillDa0r,Dale Williams
1999_03_IND_SD,LJ,StewCh0r,Charles Stewart
1999_03_IND_SD,BJ,MackKe0r,Kevin Mack
1999_03_IND_SD,SJ,FincTo0r,Tom Fincken
1999_03_IND_SD,FJ,SchmBi0r,Bill Schmitz
1999_03_MIN_GB,R,GrieJo0r,Johnny Grier
1999_03_MIN_GB,U,BallBr0r,Brian Balliet
1999_03_MIN_GB,DJ,StabTo0r,Tom Stabile
1999_03_MIN_GB,LJ,AndeDa0r,Dave Anderson
1999_03_MIN_GB,BJ,GreeSc0r,Scott Green
1999_03_MIN_GB,SJ,LookDe0r,Dean Look
1999_03_MIN_GB,FJ,CarrDu0r,Duke Carroll
1999_03_NYG_NE,R,ColeWa0r,Walt Coleman
1999_03_NYG_NE,U,RiceJe0r,Jeff Rice
1999_03_NYG_NE,DJ,HameDa0r,Dale Hamer
1999_03_NYG_NE,LJ,SteiMa0r,Mark Steinkerchner
1999_03_NYG_NE,BJ,LawiRo0r,Robert Lawing
1999_03_NYG_NE,SJ,DunnNe0r,Neely Dunn
1999_03_NYG_NE,FJ,McGrBo0r,Bob McGrath
1999_03_PHI_BUF,R,TripJe0r,Jeff Triplette
1999_03_PHI_BUF,U,DaopJi0r,Jim Daopoulos
1999_03_PHI_BUF,DJ,FranEa0r,Earnie Frantz
1999_03_PHI_BUF,LJ,ArthGa0r,Gary Arthur
1999_03_PHI_BUF,BJ,SkelBo0r,Bobby Skelton
1999_03_PHI_BUF,SJ,McAuTe0r,Terry McAuley
1999_03_PHI_BUF,FJ,CheeBo0r,Boris Cheek
1999_03_SEA_PIT,R,LuckPh0r,Phil Luckett
1999_03_SEA_PIT,U,WagnBo0r,Bob Wagner
1999_03_SEA_PIT,DJ,SlauGa0r,Gary Slaughter
1999_03_SEA_PIT,LJ,BostBy0r,Byron Boston
1999_03_SEA_PIT,BJ,WardDa0r,David Warden
1999_03_SEA_PIT,SJ,BakeKe0r,Ken Baker
1999_03_SEA_PIT,FJ,LeavBi0r,Bill Leavy
1999_03_SF_ARI,R,CorrTo0r,Tony Corrente
1999_03_SF_ARI,U,BotcRo0r,Ron Botchan
1999_03_SF_ARI,DJ,GierTe0r,Terry Gierke
1999_03_SF_ARI,LJ,BarnTo0r,Tom Barnes
1999_03_SF_ARI,BJ,HortBu0r,Buddy Horton
1999_03_SF_ARI,SJ,ToolDo0r,Doug Toole
1999_03_SF_ARI,FJ,SiffTo0r,Tom Sifferman
1999_03_TEN_JAX,R,WintRo0r,Ron Winter
1999_03_TEN_JAX,U,CoukEd0r,Ed Coukart
1999_03_TEN_JAX,DJ,RiveSa0r,Sanford Rivers
1999_03_TEN_JAX,LJ,MaurBr0r,Bruce Maurer
1999_03_TEN_JAX,BJ,SmitBi0r,Billy Smith
1999_03_TEN_JAX,SJ,HillTo0r,Tom Hill
1999_03_TEN_JAX,FJ,ZimmSt0r,Steven Zimmer
1999_03_WAS_NYJ,R,WhitTo0r,Tom White
1999_03_WAS_NYJ,U,QuirJi0r,Jim Quirk
1999_03_WAS_NYJ,DJ,WeidPa0r,Paul Weidner
